"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Buch am Irchel ZH","66,6 Prozent der Stimmbürgerinnen und Stimmbürger von Buch am Irchel haben die Umweltverantwortungsinitiative angenommen. Buch am Irchel hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Buch am Irchel (ZH)","Les électeurs de Buch am Irchel valident l'initiative sur la responsabilité environnementale avec 66,6 pour cent des voix. Buch am Irchel a approuvé l'initiative, contrairement à son canton.","Buch am Irchel (ZH)","Gli elettori di Buch am Irchel si sono mostrati favorevoli al potenziamento delle strade nazionali, che ha ricevuto il 66,6 per cento di ""sì"". Buch am Irchel ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Dachsen ZH","Nein zur Umweltverantwortungsinitiative in Dachsen: Mit 7'419 Nein- zu 2'206 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 77,1 Prozent. Dachsen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Dachsen (ZH)","L'initiative sur la responsabilité environnementale échoue à Dachsen avec 77,1 pour cent des suffrages. Dachsen a rejeté l'initiative, tout comme son canton.","Dachsen (ZH)","Gli elettori di Dachsen si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 77,1 per cento di voti contrari. Dachsen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Dorf ZH","In Dorf hat die Stimmbevölkerung die Umweltverantwortungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 65,4 Prozent verworfen. Dorf hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Dorf (ZH)","À Dorf, les habitants sont défavorables à l'initiative sur la responsabilité environnementale avec 65,4 pour cent des voix. Dorf a rejeté l'initiative, tout comme son canton.","Dorf (ZH)","A Dorf gli abitanti si sono opposti al potenziamento delle strade nazionali con il 65,4 per cento di voti a sfavore. Dorf ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Feuerthalen ZH","73,1 Prozent der Abstimmenden in der Gemeinde Feuerthalen haben Ja gesagt zur Umweltverantwortungsinitiative. Feuerthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Feuerthalen (ZH)","C'est oui à 73,1 pour cent à l'initiative sur la responsabilité environnementale à Feuerthalen. Feuerthalen a approuvé l'initiative, contrairement à son canton.","Feuerthalen (ZH)","Il 73,1 per cento degli elettori di Feuerthalen ha accolto l'iniziativa per la resposanbilità ambientale. Feuerthalen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Flaach ZH","In Flaach hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 62,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Flaach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Flaach (ZH)","Les habitants de Flaach rejettent l'initiative sur la responsabilité environnementale avec 62,8 pour cent de non. Flaach a rejeté l'initiative, tout comme son canton.","Flaach (ZH)","I cittadini di Flaach hanno respinto l'iniziativa per la resposanbilità ambientale con il 62,8 per cento di voti contrari. Flaach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Flurlingen ZH","Keine Mehrheit für die Umweltverantwortungsinitiative in Flurlingen: Mit 6'368 Nein-Stimmen zu 4'887 Ja-Stimmen oder 56,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Flurlingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Flurlingen (ZH)","C'est non à 56,6 pour cent à l'initiative sur la responsabilité environnementale à Flurlingen. Flurlingen a rejeté l'initiative, tout comme son canton.","Flurlingen (ZH)","Il 56,6 per cento degli elettori di Flurlingen ha respinto l'iniziativa per la resposanbilità ambientale. Flurlingen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Henggart ZH","76,8 Prozent der Abstimmenden in der Gemeinde Henggart haben Ja gesagt zur Umweltverantwortungsinitiative. Henggart hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Henggart (ZH)","C'est oui à 76,8 pour cent à l'initiative sur la responsabilité environnementale à Henggart. Henggart a approuvé l'initiative, contrairement à son canton.","Henggart (ZH)","Il 76,8 per cento degli elettori di Henggart ha accolto l'iniziativa per la resposanbilità ambientale. Henggart ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Kleinandelfingen ZH","67,6 Prozent der Stimmbürgerinnen und Stimmbürger von Kleinandelfingen sagen Nein zur Umweltverantwortungsinitiative. Kleinandelfingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Kleinandelfingen (ZH)","Les habitants de Kleinandelfingen s'opposent à l'initiative sur la responsabilité environnementale avec 67,6 pour cent de non. Kleinandelfingen a rejeté l'initiative, tout comme son canton.","Kleinandelfingen (ZH)","Gli abitanti di Kleinandelfingen hanno respinto l'iniziativa per la resposanbilità ambientale con il 67,6 per cento di ""no"". Kleinandelfingen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Laufen-Uhwiesen ZH","70 Prozent der Abstimmenden in der Gemeinde Laufen-Uhwiesen haben Ja gesagt zur Umweltverantwortungsinitiative. Laufen-Uhwiesen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Laufen-Uhwiesen (ZH)","C'est oui à 70 pour cent à l'initiative sur la responsabilité environnementale à Laufen-Uhwiesen. Laufen-Uhwiesen a approuvé l'initiative, contrairement à son canton.","Laufen-Uhwiesen (ZH)","Il 70 per cento degli elettori di Laufen-Uhwiesen ha accolto l'iniziativa per la resposanbilità ambientale. Laufen-Uhwiesen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Marthalen ZH","Ja zur Umweltverantwortungsinitiative in Marthalen: Mit 69,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Marthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Marthalen (ZH)","Les habitants de Marthalen approuvent l'initiative sur la responsabilité environnementale avec 69,6 pour cent des voix. Marthalen a approuvé l'initiative, contrairement à son canton.","Marthalen (ZH)","Gli abitanti di Marthalen hanno accolto l'iniziativa per la resposanbilità ambientale con il 69,6 per cento di ""sì"". Marthalen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Ossingen ZH","Ossingen hat die Umweltverantwortungsinitiative mit 54,5 Prozent abgelehnt. Ossingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Ossingen (ZH)","L'initiative sur la responsabilité environnementale ne passe pas la rampe à Ossingen avec 54,5 pour cent de non. Ossingen a rejeté l'initiative, tout comme son canton.","Ossingen (ZH)","L'iniziativa per la resposanbilità ambientale è stata respinta a Ossingen, dove ha riscosso il 54,5 per cento di ""no"". Ossingen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Rheinau ZH","Die Gemeinde Rheinau hat die Umweltverantwortungsinitiative mit 56,2 Prozent Ja-Stimmen angenommen. Rheinau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Rheinau (ZH)","Les habitants de Rheinau acceptent l'initiative sur la responsabilité environnementale avec 56,2 pour cent de oui. Rheinau a approuvé l'initiative, contrairement à son canton.","Rheinau (ZH)","I cittadini di Rheinau hanno accolto l'iniziativa per la resposanbilità ambientale con il 56,2 per cento di voti a favore. Rheinau ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Thalheim an der Thur ZH","In Thalheim an der Thur hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 60,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Thalheim an der Thur hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Thalheim an der Thur (ZH)","Les habitants de Thalheim an der Thur rejettent l'initiative sur la responsabilité environnementale avec 60,9 pour cent de non. Thalheim an der Thur a rejeté l'initiative, tout comme son canton.","Thalheim an der Thur (ZH)","I cittadini di Thalheim an der Thur hanno respinto l'iniziativa per la resposanbilità ambientale con il 60,9 per cento di voti contrari. Thalheim an der Thur ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Trüllikon ZH","84,6 Prozent der Stimmbürgerinnen und Stimmbürger von Trüllikon haben die Umweltverantwortungsinitiative angenommen. Trüllikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Trüllikon (ZH)","Les électeurs de Trüllikon valident l'initiative sur la responsabilité environnementale avec 84,6 pour cent des voix. Trüllikon a approuvé l'initiative, contrairement à son canton.","Trüllikon (ZH)","Gli elettori di Trüllikon si sono mostrati favorevoli al potenziamento delle strade nazionali, che ha ricevuto il 84,6 per cento di ""sì"". Trüllikon ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Truttikon ZH","Die Stimmbevölkerung von Truttikon hat die Umweltverantwortungsinitiative mit 98,2 Prozent angenommen. Truttikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Truttikon (ZH)","À Truttikon, les habitants disent oui à 98,2 pour cent à l'initiative sur la responsabilité environnementale. Truttikon a approuvé l'initiative, contrairement à son canton.","Truttikon (ZH)","Nel comune di Truttikon, i cittadini hanno accolto l'iniziativa per la resposanbilità ambientale con il 98,2 per cento di voti favorevoli. Truttikon ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Volken ZH","In Volken hat die Stimmbevölkerung die Umweltverantwortungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 69,2 Prozent verworfen. Volken hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Volken (ZH)","À Volken, les habitants sont défavorables à l'initiative sur la responsabilité environnementale avec 69,2 pour cent des voix. Volken a rejeté l'initiative, tout comme son canton.","Volken (ZH)","A Volken gli abitanti si sono opposti al potenziamento delle strade nazionali con il 69,2 per cento di voti a sfavore. Volken ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bachenbülach ZH","Nein zur Umweltverantwortungsinitiative in Bachenbülach: Mit 9'130 Nein- zu 2'967 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 75,5 Prozent. Bachenbülach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bachenbülach (ZH)","L'initiative sur la responsabilité environnementale échoue à Bachenbülach avec 75,5 pour cent des suffrages. Bachenbülach a rejeté l'initiative, tout comme son canton.","Bachenbülach (ZH)","Gli elettori di Bachenbülach si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 75,5 per cento di voti contrari. Bachenbülach ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bassersdorf ZH","Nein zur Umweltverantwortungsinitiative in Bassersdorf. Die Gemeinde hat die Vorlage mit 74,4 Prozent abgelehnt. Bassersdorf hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Bassersdorf (ZH)","À Bassersdorf, les habitants disent non à 74,4 pour cent à l'initiative sur la responsabilité environnementale. Bassersdorf a rejeté l'initiative, tout comme son canton.","Bassersdorf (ZH)","Nel comune di Bassersdorf, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 74,4 per cento di voti contrari. Bassersdorf ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Bülach ZH","Ja zur Umweltverantwortungsinitiative in Bülach. Die Gemeinde hat das Volksbegehren mit 50,4 Prozent der Stimmen angenommen. Bülach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Bülach (ZH)","L'initiative sur la responsabilité environnementale passe la rampe à Bülach avec 50,4 pour cent de oui. Bülach a approuvé l'initiative, contrairement à son canton.","Bülach (ZH)","L'iniziativa per la resposanbilità ambientale è stata accolta a Bülach, dove ha riscosso il 50,4 per cento di voti a favore. Bülach ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Dietlikon ZH","57 Prozent der Stimmbürgerinnen und Stimmbürger von Dietlikon haben die Umweltverantwortungsinitiative angenommen. Dietlikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Dietlikon (ZH)","Les électeurs de Dietlikon valident l'initiative sur la responsabilité environnementale avec 57 pour cent des voix. Dietlikon a approuvé l'initiative, contrairement à son canton.","Dietlikon (ZH)","Gli elettori di Dietlikon si sono mostrati favorevoli al potenziamento delle strade nazionali, che ha ricevuto il 57 per cento di ""sì"". Dietlikon ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Eglisau ZH","Ja zur Umweltverantwortungsinitiative in Eglisau. Die Gemeinde hat das Volksbegehren mit 59,9 Prozent der Stimmen angenommen. Eglisau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Eglisau (ZH)","L'initiative sur la responsabilité environnementale passe la rampe à Eglisau avec 59,9 pour cent de oui. Eglisau a approuvé l'initiative, contrairement à son canton.","Eglisau (ZH)","L'iniziativa per la resposanbilità ambientale è stata accolta a Eglisau, dove ha riscosso il 59,9 per cento di voti a favore. Eglisau ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Embrach ZH","Die Gemeinde Embrach hat die Umweltverantwortungsinitiative mit 60,4 Prozent Ja-Stimmen angenommen. Embrach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Embrach (ZH)","Les habitants d'Embrach acceptent l'initiative sur la responsabilité environnementale avec 60,4 pour cent de oui. Embrach a approuvé l'initiative, contrairement à son canton.","Embrach (ZH)","I cittadini di Embrach hanno accolto l'iniziativa per la resposanbilità ambientale con il 60,4 per cento di voti a favore. Embrach ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Freienstein-Teufen ZH","Ja zur Umweltverantwortungsinitiative in Freienstein-Teufen: Mit 67,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Freienstein-Teufen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Freienstein-Teufen (ZH)","Les habitants de Freienstein-Teufen approuvent l'initiative sur la responsabilité environnementale avec 67,3 pour cent des voix. Freienstein-Teufen a approuvé l'initiative, contrairement à son canton.","Freienstein-Teufen (ZH)","Gli abitanti di Freienstein-Teufen hanno accolto l'iniziativa per la resposanbilità ambientale con il 67,3 per cento di ""sì"". Freienstein-Teufen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Glattfelden ZH","Die Stimmbevölkerung von Glattfelden hat die Umweltverantwortungsinitiative mit 82,2 Prozent angenommen. Glattfelden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Glattfelden (ZH)","À Glattfelden, les habitants disent oui à 82,2 pour cent à l'initiative sur la responsabilité environnementale. Glattfelden a approuvé l'initiative, contrairement à son canton.","Glattfelden (ZH)","Nel comune di Glattfelden, i cittadini hanno accolto l'iniziativa per la resposanbilità ambientale con il 82,2 per cento di voti favorevoli. Glattfelden ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Hochfelden ZH","Nein zur Umweltverantwortungsinitiative in Hochfelden. Die Gemeinde hat die Vorlage mit 71,8 Prozent abgelehnt. Hochfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hochfelden (ZH)","À Hochfelden, les habitants disent non à 71,8 pour cent à l'initiative sur la responsabilité environnementale. Hochfelden a rejeté l'initiative, tout comme son canton.","Hochfelden (ZH)","Nel comune di Hochfelden, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 71,8 per cento di voti contrari. Hochfelden ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Höri ZH","Die Stimmbevölkerung von Höri hat die Umweltverantwortungsinitiative mit 84 Prozent angenommen. Höri hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Höri (ZH)","À Höri, les habitants disent oui à 84 pour cent à l'initiative sur la responsabilité environnementale. Höri a approuvé l'initiative, contrairement à son canton.","Höri (ZH)","Nel comune di Höri, i cittadini hanno accolto l'iniziativa per la resposanbilità ambientale con il 84 per cento di voti favorevoli. Höri ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Hüntwangen ZH","In Hüntwangen hat die Stimmbevölkerung die Umweltverantwortungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 55,7 Prozent verworfen. Hüntwangen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hüntwangen (ZH)","À Hüntwangen, les habitants sont défavorables à l'initiative sur la responsabilité environnementale avec 55,7 pour cent des voix. Hüntwangen a rejeté l'initiative, tout comme son canton.","Hüntwangen (ZH)","A Hüntwangen gli abitanti si sono opposti al potenziamento delle strade nazionali con il 55,7 per cento di voti a sfavore. Hüntwangen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Kloten ZH","In Kloten hat die Stimmbevölkerung der Umweltverantwortungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 73,4 Prozent angenommen. Kloten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Kloten (ZH)","À Kloten, les habitants sont favorables à l'initiative sur la responsabilité environnementale avec 73,4 pour cent des suffrages. Kloten a approuvé l'initiative, contrairement à son canton.","Kloten (ZH)","A Kloten gli abitanti hanno accolto l'iniziativa per la resposanbilità ambientale con il 73,4 per cento di ""sì"". Kloten ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
